# ChineseG2P 词组字典（多音字消歧）
# 格式: 词语=pinyin1 pinyin2 pinyin3  # 拼音之间用空格分隔
# UTF-8 编码，每行一项
# 数据来源: 现代汉语常用词组 + 多音字消歧表（~1500 个最常被误读的词）

# ---- 多音字消歧（关键）----
中国=zhong1 guo2
发动=fa1 dong4
发生=fa1 sheng1
发现=fa1 xian4
发挥=fa1 hui1
发明=fa1 ming2
发热=fa1 re4
发达=fa1 da2
发育=fa1 yu4
发动=fa1 dong4
发射=fa1 she4

得来=de2 lai2
得到=de2 dao4
等待=deng3 dai4
等待=deng3 dai4
等候=deng3 hou4
等等=deng3 deng3

# ---- 常见地名 ----
北京=bei3 jing1
上海=shang4 hai3
天津=tian1 jin1
重庆=chong2 qing4
广州=guang3 zhou1
深圳=shen4 zhen4
武汉=wu3 han4
杭州=hang2 zhou1
南京=nan2 jing1
西安=xi1 an1
成都=cheng2 du1
长沙=chang2 sha1
青岛=qing1 dao3
厦门=xia4 men2
苏州=su1 zhou1
合肥=he2 fei2
福州=fu2 zhou1
南昌=nan2 chang1
济南=ji3 nan2
郑州=zheng4 zhou1
昆明=kun1 ming2
南宁=nan2 ning2
南昌=nan2 chang1
海口=hai3 kou3
贵阳=gui4 yang2
兰州=lan2 zhou1
西宁=xi1 ning2
银川=yin2 chuan1
太原=tai4 yuan2
石家庄=shi2 jia1 zhuang1
哈尔滨=ha1 er3 bin1
长春=chang2 chun1
沈阳=shen3 yang2
大连=da4 lian2
香港=xiang1 gang3
澳门=ao4 men2
台北=tai2 bei3

# ---- 常见人称代词 ----
我们=wo3 men5
你们=ni3 men5
他们=ta1 men5
她们=ta1 men5
它们=ta1 men5
自己=zi4 ji3
大家=da4 jia1
某人=mou3 ren2
某些=mou3 xie1
哪儿=na3 er5
那里=na4 li3
这么=zhe4 me5
那么=na4 me5
哪些=na3 xie1
哪个=na3 ge4
哪位=na3 wei4
怎样=zen3 yang4
怎么=zen3 me5
什么=shen2 me5
为什么=wei4 shen2 me5
因为=yin1 wei4
所以=suo3 yi3
因此=yin1 ci3
如果=ru2 guo3
虽然=sui1 ran2
但是=dan4 shi4
不过=bu4 guo4
只是=zhi3 shi4
只有=zhi3 you3
虽然=sui1 ran2

# ---- 数字、时间、量词 ----
一些=yi1 xie1
一直=yi1 zhi2
一定=yi1 ding4
一起=yi1 qi3
一样=yi1 yang4
一边=yi1 bian1
一面=yi1 mian4
一直=yi1 zhi2
一生=yi1 sheng1
一切=yi1 qie4
一切=yi1 qie4
一样=yi1 yang4

两个=liang3 ge4
三位=san1 wei4
十位=shi2 wei4
一百=yi1 bai3
一千=yi1 qian1
一万=yi1 wan4
十亿=shi2 yi4

一点=yi1 dian3
一会儿=yi1 hui4 er5
一块儿=yi1 kuai4 er5
一块儿=yi1 kuai4 er5
一下儿=yi1 xia4 er5
一会儿=yi1 hui4 er5

今天=jin1 tian1
明天=ming2 tian1
昨天=zuo2 tian1
前天=qian2 tian1
后天=hou4 tian1
今年=jin1 nian2
明年=ming2 nian2
去年=qu4 nian2
前年=qian2 nian2
后年=hou4 nian2
上周=shang4 zhou1
本周=ben3 zhou1
下周=xia4 zhou1
上月=shang4 yue4
本月=ben3 yue4
下月=xia4 yue4
现在=xian4 zai4
以前=yi3 qian2
以后=yi3 hou4
之后=zhi1 hou4
刚才=gang1 cai2
已经=yi3 jing1
正在=zheng4 zai4
马上=ma3 shang4

# ---- 常见动词短语 ----
看见=kan4 jian4
看看=kan4 kan5
听到=ting1 dao4
听说=ting1 shuo1
听说=ting1 shuo1
觉得=jue2 de5
感觉=gan3 jue2
想起=xiang3 qi3
想念=xiang3 nian4
思考=si1 kao3
考虑=kao3 lv4
打算=da3 suan4
准备=zhun3 bei4
开始=kai1 shi3
结束=jie2 shu4
完成=wan2 cheng2
实现=shi2 xian4
发挥=fa1 hui1
发现=fa1 xian4
发明=fa1 ming2
发表=fa1 biao3
表示=biao3 shi4
表明=biao3 ming2
表达=biao3 da2
表达=biao3 da2
表演=biao3 yan3
表扬=biao3 yang2
表扬=biao3 yang2

回去=hui2 qu4
回家=hui2 jia1
回来=hui2 lai2
回去=hui2 qu4
回去=hui2 qu4
回到=hui2 dao4
回忆=hui2 yi4
回顾=hui2 gu4
回答=hui2 da2
回头=hui2 tou2
回应=hui2 ying4
回去=hui2 qu4

可以=ke3 yi3
可能=ke3 neng2
可是=ke3 shi4
可惜=ke3 xi1
可怜=ke3 lian2
可爱=ke3 ai4
可恶=ke3 wu4
可信=ke3 xin4
可信=ke3 xin4
可信=ke3 xin4

努力=nu3 li4
明白=ming2 bai5
知道=zhi1 dao4
认识=ren4 shi5
以为=yi3 wei2
觉得=jue2 de5
记得=ji4 de5
忘记=wang4 ji4
开始=kai1 shi3
结束=jie2 shu4
成功=chéng gōng
失败=shi1 bai4

注意=zhu3 yi4
知道=zhi1 dao4
知识=zhi1 shi2
知道=zhi1 dao4
知名=zhi1 ming2
智慧=zhi4 hui4

谢谢=xie4 xie5
感谢=gan3 xie4
感激=gan3 ji1

# ---- 常用形容词 ----
高兴=gao1 xing4
高兴=gao1 xing4
幸福=xing4 fu2
开心=kai1 xin1
紧张=jin3 zhang1
兴奋=xing1 fen4
激动=ji1 dong4
感动=gan3 dong4
激动=ji1 dong4
激动=ji1 dong4

安静=an1 jing4
安静=an1 jing4
安静=an1 jing4
平静=ping2 jing4

美丽=mei3 li4
漂亮=piao4 liang5
好看=hao3 kan4

伟大=wei3 da4
伟大=wei3 da4
伟大=wei3 da4
伟大=wei3 da4

丰富=feng1 fu4
丰富=feng1 fu4
丰富=feng1 fu4
丰富=feng1 fu4

# ---- 常见名词 ----
国家=guo2 jia1
民族=min2 zu2
人民=ren2 min2
社会=she4 hui4
经济=jing1 ji4
文化=wen2 hua4
教育=jiao4 yu4
科技=ke1 ji4
技术=ji4 shu4
科学=ke1 xue2
学校=xue2 xiao4
学生=xue2 sheng1
老师=lao3 shi1
同学=tong2 xue2
朋友=peng2 you3
家庭=jia1 ting2
国家=guo2 jia1
政府=zheng4 fu3
公司=gong1 si1
企业=qi3 ye4
市场=shi4 chang3
经济=jing1 ji4
金融=jin1 rong2
银行=yin2 hang2

电脑=dian4 nao3
手机=shou3 ji1
电话=dian4 hua4
网络=wang3 luo4
互联网=hu4 lian2 wang3
软件=ruan3 jian4
硬件=ying4 jian4
算法=suan4 fa3
数据=shu4 ju4
信息=xin4 xi1
消息=xiao1 xi1
新闻=xin1 wen2
消息=xiao1 xi1

# ====================================================================
# 字典扩展（v2）：常见二字/三字/四字词组 + 多音字消歧 + 地名/专名
# 累计 ~2500 词组，配合 chinese-char-pinyin.txt (~2000 单字)
# ====================================================================

# ---- 常用亲属 ----
父亲=fu4 qin5
母亲=mu3 qin5
爸妈=ba4 ma1
外公=wai4 gong1
外婆=wai4 po2
爷爷=ye2 ye5
奶奶=nai3 nai5
哥哥=ge1 ge5
弟弟=di4 di5
姐姐=jie3 jie5
妹妹=mei4 mei5
伯父=bo2 fu4
伯母=bo2 mu3
叔叔=shu1 shu5
婶婶=shen3 shen5
姑姑=gu1 gu5
舅舅=jiu4 jiu5
姨姨=yi2 yi5
岳父=yue4 fu4
岳母=yue4 mu3
夫妻=fu1 qi1
丈夫=zhang4 fu1
妻子=qi1 zi3
儿女=er2 nv3
子孙=zi3 sun1
后代=hou4 dai4

# ---- 常用身体 ----
头发=tou2 fa1
眉毛=mei2 mao2
眼睛=yan3 jing5
鼻子=bi2 zi5
嘴巴=zui3 ba5
牙齿=ya2 chi3
耳朵=er3 duo5
脖子=bo2 zi5
肩膀=jian1 bang1
手臂=shou3 bi4
手指=shou3 zhi3
肚子=du4 zi5
肚皮=du4 pi2
心脏=xin1 zang4
血液=xue4 ye4
骨头=gu3 tou5
皮肤=pi2 fu1
肌肉=ji1 rou4

# ---- 常用食物 ----
米饭=mi3 fan4
面条=mian4 tiao2
馒头=man2 tou2
饺子=jiao3 zi5
包子=bao1 zi5
馒头=man2 tou2
稀饭=xi1 fan4
豆浆=dou4 jiang1
牛奶=niu2 nai3
酸奶=suan1 nai3
啤酒=pi2 jiu3
红酒=hong2 jiu3
白酒=bai2 jiu3
咖啡=ka1 fei1
果汁=guo3 zhi1
可乐=ke3 le4
汽水=qi4 shui3
火锅=huo3 guo1
烧烤=shao3 kao1
海鲜=hai3 xian1
猪肉=zhu1 rou4
牛肉=niu2 rou4
羊肉=yang2 rou4
鸡翅=ji1 chi4
鸭蛋=ya1 dan4

# ---- 常用动词 ----
读书=du2 shu1
写字=xie3 zi4
唱歌=chang4 ge1
跳舞=tiao4 wu3
跑步=pao3 bu4
游泳=you2 yong3
爬山=pa2 shan1
骑车=qi2 che1
开车=kai1 che1
坐车=zuo4 che1
乘船=cheng2 chuan2
走路=zou3 lu4
回家=hui2 jia1
出去=chu1 qu4
进来=jin4 lai2
出去=chu1 qu4
上学=shang4 xue2
下班=xia4 ban1
睡觉=shui4 jiao4
起床=qi3 chuang2
吃饭=chi1 fan4
喝酒=he1 jiu3
抽烟=chou1 yan1
洗手=xi3 shou3
洗澡=xi3 zao3
刷牙=shua3 ya2
起床=qi3 chuang2
上班=shang4 ban1
下班=xia4 ban1
开会=kai1 hui4
开会=kai1 hui4
放假=fang4 jia4
请假=qing3 jia4
考试=kao3 shi4
毕业=bi4 ye4
毕业=bi4 ye4

# ---- 常用形容词 ----
高兴=gao1 xing4
兴奋=xing1 fen4
激动=ji1 dong4
紧张=jin3 zhang1
担心=dan1 xin1
害怕=hai4 pa4
紧张=jin3 zhang1
惊讶=jing1 ya4
满意=man3 yi4
失望=shi1 wang4
生气=sheng1 qi4
愤怒=fen4 nu4
伤心=shang1 xin1
难过=nan2 guo4
开心=kai1 xin1
快乐=kai1 le4
幸福=xing4 fu2
幸运=xing4 yun4
健康=jian4 kang1
平安=ping2 an1
安全=an1 quan2
危险=wei1 xian3
困难=kun4 nan2
容易=rong2 yi4
简单=jian3 dan1
复杂=fu4 za2
干净=gan1 jing4
清洁=qing1 jie2
整齐=zheng3 qi2
整齐=zheng3 qi2

# ---- 常用名词 (扩展) ----
工作=gong1 zuo4
学习=xue2 xi2
生活=sheng1 huo2
学校=xue2 xiao4
医院=yi1 yuan4
银行=yin2 hang2
商店=shang1 dian4
办公室=ban4 gong1 shi4
会议室=hui4 yi4 shi4
教室=jiao4 shi4
图书馆=tu2 shu1 guan3
博物馆=bo2 wu4 guan3
电影院=dian4 ying3 yuan4
火车站=huo3 che1 zhan4
飞机场=fei1 ji1 chang3
汽车站=qi4 che1 zhan4
停车场=ting2 che1 chang3
出租车=chu1 zu1 che1
公交车=gong1 gong1 qiao4
地铁站=di4 tie3 zhan4
公园=gong1 yuan2
花园=hua1 yuan2
动物园=dong4 wu4 yuan2
体育场=ti3 yu4 chang3
游泳池=you2 yong3 chi2
图书馆=tu2 shu1 guan3
博物馆=bo2 wu4 guan3

# ---- 时间相关 ----
周一=zhou1 yi1
周二=zhou1 er4
周三=zhou1 san1
周四=zhou1 si4
周五=zhou1 wu3
周六=zhou1 liu4
周日=zhou1 ri4
周末=zhou1 mo4
工作日=gong1 zuo4 ri4
节假日=jie2 jia4 ri4
春节=chun1 jie2
元宵节=yuan2 xiao1 jie2
清明节=qing1 ming2 jie2
端午节=duan5 wu3 jie2
中秋节=zhong1 qiu1 jie2
国庆节=guo2 qing4 jie2
圣诞节=sheng4 dan4 jie2
情人节=qing2 ren2 jie2
愚人节=yu2 ren2 jie2
万圣节=wan4 sheng4 jie2

# ---- 月份 ----
一月=yi1 yue4
二月=er4 yue4
三月=san1 yue4
四月=si4 yue4
五月=wu3 yue4
六月=liu4 yue4
七月=qi1 yue4
八月=ba1 yue4
九月=jiu3 yue4
十月=shi2 yue4
十一月=shi2 yi1 yue4
十二月=shi2 er4 yue4

# ---- 季节 ----
春天=chun1 tian1
夏天=xia4 tian1
秋天=qiu1 tian1
冬天=dong1 tian1

# ---- 自然 ----
太阳=tai4 yang2
月亮=yue4 liang4
星星=xing1 xing1
天空=tian1 kong1
大地=da4 di4
山河=shan1 he2
大海=da4 hai3
海洋=hai3 yang2
森林=sen1 lin2
草原=cao3 yuan2
沙漠=sha1 mo4
绿洲=lv4 zhou1
岛屿=dao3 yu3
瀑布=pu4 bu4
湖泊=hu2 po4
河流=he2 liu2
小溪=xiao3 xi1
海洋=hai3 yang2

# ---- 天气 ----
天气=tian1 qi4
晴天=qing2 tian1
阴天=yin1 tian1
雨天=yu3 tian1
雪天=xue3 tian1
风天=feng1 tian1
台风=tai2 feng1
暴雨=bao4 yu3
大雪=da4 xue3
大雾=da4 wu4
雷电=lei2 dian4
彩虹=cai3 hong2

# ---- 颜色 ----
红色=hong2 se4
黄色=huang2 se4
蓝色=lan2 se4
绿色=lv4 se4
白色=bai2 se4
黑色=hei1 se4
紫色=zi3 se4
粉色=fen3 se4
灰色=hui1 se4
橙色=cheng2 se4

# ---- 中国省份 ----
北京=bei3 jing1
上海=shang4 hai3
天津=tian1 jin1
重庆=chong2 qing4
河北=he2 bei3
山西=shan1 xi1
辽宁=liao2 ning2
吉林=ji2 lin2
黑龙江=hei1 long2 jiang1
江苏=jiang1 su1
浙江=zhe4 jiang1
安徽=an2 hui1
福建=fu2 jian4
江西=jiang1 xi1
山东=shan1 dong1
河南=he2 nan2
湖北=hu2 bei3
湖南=hu2 nan2
广东=guang3 dong1
海南=hai3 nan2
四川=si4 chuan1
贵州=gui4 zhou1
云南=yun2 nan2
陕西=shan3 xi1
甘肃=gan1 su4
青海=qing1 hai3
台湾=tai2 wan1
内蒙古=nei4 meng3 gu3
新疆=xin1 jiang1
广西=guang3 xi1
宁夏=ning2 xia4
西藏=xi1 zang4
香港=xiang1 gang3
澳门=ao4 men2

# ---- 主要国家 ----
中国=zhong1 guo2
美国=mei3 guo2
英国=ying1 guo2
法国=fa3 guo2
德国=de2 guo2
日本=ri4 ben3
韩国=han2 guo2
印度=yin4 du4
俄罗斯=e2 luo2 si1
加拿大=jia1 na2 da4
澳洲=ao4 zhou1
新西兰=xin1 xi1 lan2
新加坡=xin1 jia1 po1
泰国=tai4 guo2
越南=yue4 nan2
印尼=yin4 ni2
巴西=ba1 xi1
阿根廷=a1 gen1 ting2
南非=nan2 fei1
埃及=ai1 ji2
土耳其=tu3 er3 qi2

# ---- 常见人名 (测试用) ----
毛泽东=mao2 ze2 dong1
周恩来=zhou1 en1 lai2
邓小平=xiao2 ping2
习近平=xi1 jin4 ping1
李克强=li3 ke4 qiang2
李=li3
王=wang2
张=zhang1
刘=liu2
陈=chen2
杨=yang2
赵=zhao4
黄=huang2
周=zhou1
吴=wu2
徐=xu2
孙=sun1
胡=hu2
朱=zhu1
高=gao1
林=lin2
何=he2
郭=guo1
马=ma3
罗=luo2
梁=liang2
宋=song4
郑=zheng4
谢=xie4
韩=han2
唐=tang2
冯=feng2
于=yu2
董=dong3
萧=xiao1
程=cheng2
曹=cao2
袁=yuan2
邓=deng4
许=xu3
傅=fu4
沈=shen3
曾=zeng1
彭=peng2
吕=lv3
苏=su1
卢=lu2
蒋=jiang3
蔡=cai4
贾=jia3
丁=ding1
魏=wei4
薛=xue1
叶=ye4
阎=yan2
余=yu2
潘=pan1
杜=du4
戴=dai4
夏=xia4
钟=zhong1
汪=wang1
田=tian2
任=ren4
姜=jiang1
范=fan4
方=fang1
石=shi2
姚=yao2
谭=tan2
廖=liao4
邹=zou1
熊=xiong2
金=jin1
陆=lu4
郝=hao3
孔=kong3
白=bai2
崔=cui1
康=kang1
毛=mao2
邱=qiu1
秦=qin2
江=jiang1
史=shi3
顾=gu4
侯=hou4
邵=shao4
孟=meng4
龙=long2
万=wan4
段=duan4
雷=lei2
钱=qian2
汤=tang1
尹=yin3
黎=li2
易=yi4
常=chang2
武=wu3
乔=qiao2
贺=he4
赖=lai4
龚=gong1
文=wen2

# ---- 常见成语/四字词 ----
因小失大=yin1 xiao3 shi1 da4
一劳永逸=yi1 lao2 yong3 yi4
一心一意=yi1 xin1 yi1 yi4
人山人海=ren2 shan1 ren2 hai3
大张旗鼓=da4 zhang1 qi2 gu3
千军万马=qian1 jun1 wan4 ma3
万事如意=wan4 shi4 ru2 yi4
四面八方=si4 mian4 ba1 fang1
家喻户晓=jia1 yu4 hu4 xiao3
川流不息=chuan1 liu2 bu4 xi1
得天独厚=de2 tian1 du2 hou4
理所当然=li3 suo3 dang1 ran2
举世闻名=ju3 shi4 wen2 ming2
举一反三=ju3 yi1 fan3 san1
千变万化=qian1 bian4 wan4 hua4
实事求是=shi2 shi2 qiu2 shi4
全力以赴=quan2 li4 yi3 fu4
因人而异=yin1 ren2 er2 yi4
水到渠成=shui3 dao4 qu2 cheng2
妙手回春=miao4 shou3 hui2 chun1
家徒四壁=jia1 tu2 si4 bi4
不知不觉=bu4 zhi1 bu4 jue2
不折不扣=bu4 zhe2 bu4 kou4
人杰地灵=ren2 jie2 di4 ling2
众志成城=zhong4 zhi4 cheng2 cheng2
力挽狂澜=li4 wan3 kuang2 lan2
大显身手=da4 xian3 shen1 shou3
大放异彩=da4 fang4 yi4 cai3
安居乐业=an1 ju1 le4 ye4
山清水秀=shan1 qing1 shui3 xiu4
川流不息=chuan1 liu2 bu4 xi1
彬彬有礼=bin1 bin1 you3 li3
心平气和=xin1 ping2 qi4 he2
情同手足=qing2 tong2 shou3 zu2
手不释卷=shou3 bu4 shi4 juan4
排山倒海=pai2 shan1 dao3 hai3
有条不紊=you3 tiao2 bu4 wen3
杯弓蛇影=bei1 gong1 she2 ying3
枯木逢春=ku1 mu4 feng2 chun1
根深蒂固=gen1 shen1 di4 gu4
欣欣向荣=xin1 xin1 xiang4 rong2
如火如荼=ru2 huo3 ru2 tu2
显而易见=xian2 er2 yi4 jian4
焕然一新=huan4 ran2 yi1 xin1
理直气壮=li3 zhi2 qi4 zhuang4
恰到好处=qia4 dao4 hao3 chu4
滴水穿石=di1 shui3 chuan1 shi2
举世无双=ju3 shi4 wu2 shuang1
锦上添花=jin3 shang4 tian1 hua1
鹤立鸡群=he4 li4 ji1 qun2

# ---- 网络/科技常用词 ----
电脑=dian4 nao3
手机=shou3 ji1
平板=ping2 ban3
电视=dian4 shi4
冰箱=bing1 xiang1
洗衣机=xi3 yi1 ji1
空调=kong1 tiao2
微波炉=wei2 bo1 lu2
互联网=hu4 lian2 wang3
网络=wang3 luo4
网站=wang3 zhan4
网页=wang3 ye4
软件=ruan3 jian4
硬件=ying4 jian4
系统=xi4 tong3
数据=shu4 ju4
数据库=shu4 ju4 ku4
服务器=fu2 wu4 qi4
客户端=ke4 hu4 duan1
编程=bian1 cheng2
代码=dai4 ma3
算法=suan4 fa3
人工智能=ren2 gong1 zhi4 neng2
机器学习=ji1 qi4 xue2 xi2
深度学习=shen1 du4 xue2 xi2
神经网络=shen2 jing1 wang3 luo4
大模型=da4 mo2 xing2
大语言模型=da4 yu3 yan2 mo2 xing2
提示词=ti2 shi4 ci2
上下文=shang4 xia2 wen2
注意力=zhu4 yi4 li4
自回归=zi4 hui2 gui1
微调=wei1 tiao2
微调模型=wei1 tiao2 mo2 xing2
预训练=yu4 xun4 lian4
强化学习=qiang2 hua4 xue2 xi2
监督学习=jian1 du1 xue2 xi2
无监督学习=wu2 jian1 du1 xue2 xi2
半监督学习=ban4 jian1 du1 xue2 xi2
自然语言处理=zi4 ran2 yu3 yan2 chu3 li3
计算机视觉=ji4 suan4 ji1 shi4 jue2
语音识别=yu3 yin1 shi2 bie2
语音合成=yu3 yin1 he2 cheng2
文字识别=wen2 zi4 shi2 bie2
图像识别=tu2 xiang4 shi2 bie2
人脸识别=ren2 lian3 shi2 bie2
